Aria | Composer | Opera | Voice | Filename
Se palpitai d'affanno | Donizetti, Gaetano | Olivo e Pasquale | Soprano | Se palpitai d'affanno.pdf
Grazie clementi Dei! | Donizetti, Gaetano | Olivo e Pasquale | Tenor | Grazie clementi Dei!.pdf
Per veder sù quel bel viso | Donizetti, Gaetano | Parisina | Baritone | Per veder sù quel bel viso.pdf
Ciel sei tu che in tal momento | Donizetti, Gaetano | Parisina | Soprano | Ciel sei tu che in tal momento.pdf
Forse un destin, che intendere | Donizetti, Gaetano | Parisina | Soprano | Forse un destin, che intendere.pdf
Sogno talor di correre | Donizetti, Gaetano | Parisina | Soprano | Sogno talor di correre.pdf
Io sentù tremar la mano | Donizetti, Gaetano | Parisina | Tenor | Io sentù tremar la mano.pdf
Alimento alla fiamma si porga | Donizetti, Gaetano | Poliuto | Bass | Alimento alla fiamma si porga.pdf
Di tua beltade immagine... No, l'acciar non fu spietato | Donizetti, Gaetano | Poliuto | Baritone | Di tua beltade immagine... No, l'acciar non fu spietato.pdf
Di quai soavi lagrime... Perchè di stolto giubilo | Donizetti, Gaetano | Poliuto | Soprano | Di quai soavi lagrime... Perchè di stolto giubilo.pdf
D'un alma troppo fervida | Donizetti, Gaetano | Poliuto | Tenor | D'un alma troppo fervida.pdf
Fu macchiato l'onor mio! | Donizetti, Gaetano | Poliuto | Tenor | Fu macchiato l'onor mio!.pdf
Forse in quel cor sensibile | Donizetti, Gaetano | Roberto Devereux, ossia Il conte di Essex | Check (The Duke of Nottingham) | Forse in quel cor sensibile.pdf
All'afflitto è dolce il pianto | Donizetti, Gaetano | Roberto Devereux, ossia Il conte di Essex | Check (Sara, Duchess of Nottingham) | All'afflitto è dolce il pianto.pdf
L'amor suo mi fe beata | Donizetti, Gaetano | Roberto Devereux, ossia Il conte di Essex | Check (Elisabetta, Queen of England) | L'amor suo mi fe beata.pdf
Vivi ingrato, a lei d'accanto | Donizetti, Gaetano | Roberto Devereux, ossia Il conte di Essex | Check (Elisabetta, Queen of England) | Vivi ingrato, a lei d'accanto.pdf
A te dirò negli ultimi singhiozzi | Donizetti, Gaetano | Roberto Devereux, ossia Il conte di Essex | Check (Roberto Devereux, Earl of Essex) | A te dirò negli ultimi singhiozzi.pdf
Ah! Non tremava | Donizetti, Gaetano | Sancia di Castiglia | Bass | Ah! Non tremava.pdf
Troppo omai nel cor mi preme | Donizetti, Gaetano | Sancia di Castiglia | Mezzo-soprano | Troppo omai nel cor mi preme.pdf
Al figlio tuo la morte | Donizetti, Gaetano | Sancia di Castiglia | Soprano | Al figlio tuo la morte.pdf
Io talor piu nol rammento | Donizetti, Gaetano | Sancia di Castiglia | Soprano | Io talor piu nol rammento.pdf
Perchè dell' aure in sen | Donizetti, Gaetano | Torquato Tasso | Baritone | Perchè dell' aure in sen.pdf
Io posposto ad un Torquato | Donizetti, Gaetano | Torquato Tasso | Bass | Io posposto ad un Torquato.pdf
Io l' udía ne' suoi bei carmi | Donizetti, Gaetano | Torquato Tasso | Soprano | Io l' udía ne' suoi bei carmi.pdf
